N_OBS_CELL,GRID_ID,CORAL,MACRO,CCA,ISLAND
1,59,2,0,8,AGR


1,60,25,35,15,AGR


1,60,15,0,2,AGR


1,61,25,45,25,AGR


1,61,8,0,8,AGR


1,62,15,45,25,AGR


1,62,15,0,2,AGR


1,63,8,0,8,AGR


1,64,25,56,15,AGR


1,65,8,0,8,AGR


1,66,15,56,15,AGR


1,67,15,56,15,AGR


1,67,15,0,8,AGR


0,68,0,0,0,AGR


1,69,15,69,15,AGR


1,69,8,0,8,AGR


1,70,15,0,8,AGR


1,71,15,69,15,AGR


1,71,15,0,2,AGR


1,72,8,0,15,AGR


1,72,25,2,8,AGR


1,73,15,69,15,AGR


1,73,15,2,8,AGR


1,74,25,0,8,AGR


1,74,35,15,25,AGR


0,75,0,0,0,AGR


1,76,25,8,25,AGR


1,76,35,2,15,AGR


0,77,0,0,0,AGR


1,78,25,56,8,AGR


1,78,25,15,15,AGR


1,78,35,0,2,AGR


1,78,56,2,2,AGR


1,79,15,56,8,AGR


1,79,8,8,15,AGR


1,79,15,0,0,AGR


1,80,8,56,2,AGR


1,80,15,0,2,AGR


1,81,2,25,8,AGR


1,81,8,0,0,AGR


1,82,2,25,2,AGR


1,82,0,0,0,AGR


1,83,2,15,2,AGR


1,83,0,2,0,AGR


1,84,0,0,0,AGR


1,84,0,0,0,AGR


1,85,2,8,2,AGR


1,86,0,2,0,AGR


1,87,25,15,2,AGR


1,87,35,8,2,AGR


1,87,35,2,0,AGR


0,88,0,0,0,AGR


1,89,45,45,2,AGR


1,89,15,25,8,AGR


1,89,25,15,2,AGR


1,90,45,45,2,AGR


1,91,15,35,8,AGR


1,92,35,35,2,AGR


1,92,35,8,2,AGR


1,93,15,25,8,AGR


1,94,35,2,0,AGR


0,95,0,0,0,AGR


0,96,0,0,0,AGR


1,97,25,15,2,AGR


1,98,25,2,8,AGR


1,99,25,35,15,AGR


1,99,25,0,2,AGR


0,100,0,0,0,AGR


1,101,25,35,15,AGR


1,101,15,0,8,AGR


1,101,35,0,2,AGR


1,102,25,0,2,AGR


1,103,25,45,25,AGR


1,103,25,0,8,AGR


1,104,35,0,2,AGR


1,105,15,0,8,AGR


1,106,15,45,15,AGR


1,106,25,2,2,AGR


0,107,0,0,0,AGR


1,108,15,35,15,AGR


1,108,15,2,2,AGR


0,109,0,0,0,AGR


1,110,15,25,8,AGR


1,110,8,2,0,AGR


1,111,8,25,8,AGR


1,111,15,2,0,AGR


1,112,8,2,0,AGR


1,113,15,35,8,AGR


1,114,15,0,0,AGR


1,114,2,2,0,AGR


0,115,0,0,0,AGR


1,116,0,2,0,AGR


0,117,0,0,0,AGR


1,118,0,0,0,AGR


1,119,0,0,0,AGR


0,120,0,0,0,AGR


0,121,0,0,0,AGR


0,122,0,0,0,AGR


0,123,0,0,0,AGR


1,124,0,0,0,AGR


1,125,8,0,0,AGR


1,126,2,15,0,AGR


1,126,15,15,2,AGR


1,127,45,2,2,AGR


1,127,25,2,8,AGR


1,127,25,0,8,AGR


1,128,2,56,0,AGR


1,128,0,0,0,AGR


1,129,25,2,2,AGR


1,129,25,0,8,AGR


1,129,25,0,8,AGR


1,130,45,35,2,AGR


0,131,0,0,0,AGR


0,132,0,0,0,AGR


1,133,35,35,0,AGR


1,133,69,0,8,AGR


1,133,56,0,8,AGR


1,134,56,2,2,AGR


1,134,15,0,8,AGR


1,134,45,0,8,AGR


1,135,88,15,0,AGR


1,135,35,0,2,AGR


1,135,25,0,8,AGR


1,136,45,2,2,AGR


1,136,56,0,2,AGR


1,137,25,45,0,AGR


1,137,15,0,2,AGR


1,137,0,0,0,AGR


1,138,0,8,0,AGR


0,139,0,0,0,AGR


1,140,0,0,0,AGR


0,141,0,0,0,AGR


0,142,0,0,0,AGR


0,143,0,0,0,AGR


0,144,0,0,0,AGR


1,145,0,0,0,AGR


0,146,0,0,0,AGR


0,147,0,0,0,AGR


1,148,0,0,0,AGR


0,149,0,0,0,AGR


1,150,0,0,0,AGR


1,150,0,2,0,AGR


1,151,0,2,0,AGR


1,152,0,2,0,AGR


1,153,0,2,0,AGR


1,153,0,2,0,AGR


1,154,0,2,0,AGR


1,155,0,0,0,AGR


1,155,0,0,0,AGR


1,156,0,0,0,AGR


1,156,0,0,0,AGR


1,157,0,0,0,AGR


1,158,0,0,0,AGR


1,158,0,0,0,AGR


1,159,0,0,0,AGR


1,160,0,2,0,AGR


1,160,0,0,0,AGR


1,161,0,0,0,AGR


1,162,2,8,2,AGR


1,162,2,0,0,AGR


1,163,2,8,0,AGR


1,164,2,2,2,AGR


1,164,0,0,0,AGR


1,164,0,0,0,AGR


0,165,0,0,0,AGR


1,166,2,2,0,AGR


1,166,0,0,0,AGR


1,166,0,0,0,AGR


1,166,0,0,0,AGR


0,167,0,0,0,AGR


1,168,2,2,0,AGR


1,169,0,0,0,AGR


0,170,0,0,0,AGR


0,171,0,0,0,AGR


1,172,0,0,0,AGR


1,172,0,0,0,AGR


0,173,0,0,0,AGR


1,174,0,0,0,AGR


1,174,2,0,2,AGR


1,175,2,0,0,AGR


1,176,0,35,8,AGR


1,176,15,8,15,AGR


1,176,8,0,0,AGR


1,177,0,45,15,AGR


1,177,15,0,0,AGR


1,178,0,56,8,AGR


1,179,2,2,25,AGR


1,179,8,0,8,AGR


1,179,8,0,0,AGR


1,180,0,56,8,AGR


1,181,2,56,15,AGR


1,181,8,2,15,AGR


1,181,8,0,8,AGR


1,181,8,0,0,AGR


1,182,2,69,15,AGR


1,182,0,0,2,AGR


1,182,8,0,2,AGR


1,183,0,0,8,AGR


1,184,2,56,25,AGR


1,184,2,15,15,AGR


1,184,2,0,8,AGR


1,184,8,0,2,AGR


1,185,25,35,8,AGR


1,185,15,8,15,AGR


1,186,2,56,25,AGR


1,186,35,0,2,AGR


1,187,56,15,8,AGR


1,187,35,8,25,AGR


1,187,15,0,15,AGR


1,187,69,0,0,AGR


1,188,2,88,8,AGR


1,189,2,69,25,AGR


1,189,8,0,8,AGR


1,189,15,0,2,AGR


0,190,0,0,0,AGR


1,191,15,0,25,AGR


1,192,15,0,15,AGR


1,193,8,69,25,AGR


1,193,25,0,8,AGR


1,193,15,0,15,AGR


1,194,15,56,15,AGR


1,194,2,0,8,AGR


1,195,15,69,15,AGR


1,195,8,0,8,AGR


1,195,8,0,2,AGR


1,196,15,0,2,AGR


1,197,8,0,2,AGR


1,198,2,35,8,AGR


1,198,2,0,2,AGR


1,198,8,0,2,AGR


1,199,15,0,2,AGR


1,199,8,0,2,AGR


1,200,8,69,8,AGR


1,200,8,0,8,AGR


1,201,8,8,2,AGR


1,201,15,2,2,AGR


1,201,25,0,8,AGR


1,202,2,88,8,AGR


1,202,8,0,8,AGR


1,203,2,88,15,AGR


1,203,8,8,2,AGR


1,203,8,0,2,AGR


1,203,25,2,8,AGR


1,203,15,0,2,AGR


1,204,8,2,2,AGR


1,204,25,0,15,AGR


1,205,8,88,15,AGR


1,205,8,0,2,AGR


1,205,8,0,8,AGR


1,206,2,88,15,AGR


1,206,8,2,8,AGR


1,206,25,0,8,AGR


1,207,8,0,2,AGR


1,208,8,69,15,AGR


1,208,8,8,8,AGR


1,208,25,0,8,AGR


1,209,8,69,15,AGR


1,209,25,2,2,AGR


1,209,8,0,2,AGR


1,210,25,2,8,AGR


1,210,8,0,15,AGR


1,210,15,2,2,AGR


1,211,2,88,8,AGR


1,211,8,25,8,AGR


1,211,8,0,0,AGR


1,212,8,0,15,AGR


1,212,25,0,8,AGR


1,212,25,0,0,AGR


1,213,8,88,15,AGR


1,213,8,0,2,AGR


1,214,8,15,2,AGR


1,214,0,0,0,AGR


1,215,2,0,8,AGR


1,216,2,0,25,AGR


1,217,8,56,8,AGR


1,217,15,0,15,AGR


1,218,15,69,8,AGR


1,218,15,0,15,AGR


0,219,0,0,0,AGR


1,220,15,69,15,AGR


1,220,25,0,15,AGR


1,221,45,45,2,AGR


1,221,35,0,15,AGR


1,221,35,0,8,AGR


0,222,0,0,0,AGR


1,223,2,88,8,AGR


1,223,35,0,8,AGR


1,223,45,0,2,AGR


1,224,2,88,8,AGR


1,225,35,0,8,AGR


1,226,15,69,8,AGR


1,226,35,0,8,AGR


1,227,8,25,2,AGR


1,227,25,0,8,AGR


1,228,8,69,2,AGR


1,229,15,0,8,AGR


1,230,8,88,2,AGR


1,231,25,0,2,AGR


0,232,0,0,0,AGR


1,233,25,0,2,AGR


1,233,35,0,2,AGR


0,234,0,0,0,AGR


0,235,0,0,0,AGR


1,236,15,0,0,AGR


1,236,35,0,0,AGR


0,237,0,0,0,AGR


1,238,8,25,2,AGR


1,238,15,0,0,AGR


1,239,15,0,0,AGR


1,240,8,69,15,AGR


1,241,8,8,15,AGR


1,241,8,0,0,AGR


1,242,8,69,8,AGR


1,242,56,0,2,AGR


1,243,25,25,2,AGR


1,243,15,2,15,AGR


1,244,25,0,8,AGR


1,244,45,0,8,AGR


1,245,15,69,8,AGR


1,245,25,25,2,AGR


1,245,15,2,15,AGR


1,246,35,0,2,AGR


1,247,35,25,2,AGR


1,248,56,0,8,AGR


1,249,35,25,2,AGR


1,250,25,56,8,AGR


1,251,8,45,15,AGR


1,251,25,8,25,AGR


1,251,35,2,8,AGR


1,252,25,56,8,AGR


1,252,45,0,2,AGR


1,253,15,45,15,AGR


1,253,35,8,25,AGR


1,253,45,0,8,AGR


1,254,15,45,15,AGR


1,255,25,56,15,AGR


1,255,45,8,8,AGR


1,256,25,45,15,AGR


1,256,15,45,15,AGR


1,257,15,45,15,AGR


1,257,25,8,15,AGR


1,258,15,15,15,AGR


0,259,0,0,0,AGR


1,260,15,45,15,AGR


1,260,35,15,15,AGR


1,260,35,8,8,AGR


0,261,0,0,0,AGR


0,262,0,0,0,AGR


0,263,0,0,0,AGR


0,264,0,0,0,AGR


0,265,0,0,0,AGR


0,266,0,0,0,AGR


0,267,0,0,0,AGR


1,1,35,8,15,AGU


1,2,25,15,15,AGU


1,2,35,15,15,AGU


1,3,35,8,8,AGU


1,4,35,25,8,AGU


1,4,25,15,15,AGU


1,4,25,8,15,AGU


1,4,35,8,8,AGU


0,5,0,0,0,AGU


1,6,25,8,15,AGU


1,7,25,2,8,AGU


1,8,8,25,8,AGU


1,9,35,2,8,AGU


1,10,25,25,8,AGU


1,11,25,2,2,AGU


1,12,25,25,2,AGU


1,12,25,8,15,AGU


1,12,25,8,8,AGU


1,13,25,0,2,AGU


1,13,25,8,2,AGU


1,14,8,25,2,AGU


1,14,25,8,8,AGU


1,15,25,15,25,AGU


1,16,2,25,2,AGU


1,16,25,8,8,AGU


1,17,35,8,8,AGU


1,18,8,56,2,AGU


1,18,15,25,8,AGU


0,19,0,0,0,AGU


1,20,8,15,15,AGU


1,20,8,8,2,AGU


1,20,15,15,2,AGU


0,21,0,0,0,AGU


1,22,8,56,2,AGU


1,22,8,25,25,AGU


1,22,25,25,8,AGU


1,23,15,8,2,AGU


1,23,25,45,8,AGU


1,24,15,45,8,AGU


1,24,15,35,8,AGU


1,25,8,88,0,AGU


1,25,15,69,2,AGU


1,25,8,69,0,AGU


1,25,8,45,15,AGU


1,25,8,69,8,AGU


1,25,15,35,2,AGU


1,25,25,45,8,AGU


1,25,15,56,2,AGU


1,26,8,69,2,AGU


1,27,8,69,2,AGU


1,27,15,45,2,AGU


1,27,15,45,2,AGU


1,28,15,45,8,AGU


1,28,8,45,15,AGU


1,28,15,45,2,AGU


1,29,2,69,15,AGU


1,30,2,69,8,AGU


1,30,0,25,15,AGU


1,30,8,45,2,AGU


1,31,2,69,8,AGU


1,31,15,45,2,AGU


1,32,0,88,2,AGU


1,32,8,45,8,AGU


1,32,8,45,2,AGU


1,33,2,69,8,AGU


1,34,2,88,2,AGU


1,34,8,45,8,AGU


1,35,8,45,2,AGU


1,36,15,69,15,AGU


1,36,0,88,2,AGU


1,36,8,45,15,AGU


1,37,0,25,0,AGU


1,38,2,56,15,AGU


1,38,8,69,2,AGU


0,39,0,0,0,AGU


1,40,2,35,25,AGU


1,40,15,56,8,AGU


1,41,25,45,15,AGU


0,42,0,0,0,AGU


1,43,2,69,8,AGU


1,43,2,35,2,AGU


1,44,15,45,15,AGU


1,45,2,35,2,AGU


1,45,8,45,8,AGU


1,45,2,35,2,AGU


1,46,2,35,2,AGU


1,46,15,35,15,AGU


1,47,15,25,2,AGU


1,48,2,56,2,AGU


1,48,15,25,8,AGU


1,49,15,56,0,AGU


1,50,8,56,2,AGU


1,51,15,35,8,AGU


1,51,15,56,0,AGU


1,52,8,69,2,AGU


1,53,15,69,0,AGU


1,54,15,45,8,AGU


1,55,15,69,0,AGU


1,55,8,69,0,AGU


0,56,0,0,0,AGU


1,57,15,69,0,AGU


1,57,15,25,8,AGU


1,57,15,35,2,AGU


0,58,0,0,0,AGU


1,59,8,56,0,AGU


1,59,15,35,2,AGU


1,60,15,35,8,AGU


1,60,15,15,2,AGU


1,61,8,8,2,AGU


1,61,8,25,2,AGU


1,62,2,45,0,AGU


1,63,15,25,8,AGU


1,63,8,25,8,AGU


1,63,8,15,2,AGU


1,63,8,15,2,AGU


0,64,0,0,0,AGU


1,65,15,25,8,AGU


1,65,8,15,2,AGU


1,66,15,35,0,AGU


1,66,15,25,8,AGU


1,67,8,56,8,AGU


1,67,8,8,2,AGU


1,67,2,8,0,AGU


1,68,25,35,0,AGU


1,69,15,25,2,AGU


1,70,15,35,8,AGU


1,70,15,35,0,AGU


1,70,15,25,15,AGU


1,70,15,15,2,AGU


1,71,25,25,2,AGU


1,72,15,45,8,AGU


1,72,25,35,2,AGU


1,72,15,15,2,AGU


1,73,15,25,8,AGU


1,73,25,25,2,AGU


1,74,15,56,8,AGU


1,75,35,35,0,AGU


1,75,25,25,2,AGU


1,75,15,25,2,AGU


0,76,0,0,0,AGU


1,77,15,56,8,AGU


1,77,25,35,2,AGU


1,77,25,35,2,AGU


1,78,45,25,0,AGU


1,78,15,25,8,AGU


1,79,15,45,15,AGU


1,79,2,56,2,AGU


1,80,35,35,2,AGU


1,80,25,25,8,AGU


1,81,15,45,15,AGU


1,81,15,25,2,AGU


1,82,35,35,2,AGU


1,82,8,45,8,AGU


1,82,15,35,2,AGU


1,83,15,45,15,AGU


1,83,25,25,25,AGU


1,84,15,25,8,AGU


1,85,15,35,8,AGU


1,86,45,25,2,AGU


1,87,2,15,2,AGU


1,88,45,15,2,AGU


1,88,2,25,15,AGU


1,88,15,15,25,AGU


1,89,8,8,15,AGU


1,90,15,35,2,AGU


1,90,25,15,15,AGU


1,91,15,8,15,AGU


1,91,15,2,25,AGU


1,92,35,35,2,AGU


1,92,35,2,35,AGU


1,93,35,15,15,AGU


1,93,15,2,25,AGU


1,94,45,25,25,AGU


1,94,25,45,8,AGU


1,94,15,2,15,AGU


1,94,45,8,35,AGU


0,95,0,0,0,AGU


1,96,45,25,25,AGU


1,96,25,25,25,AGU


1,96,25,8,35,AGU


1,96,15,2,8,AGU


1,96,35,2,45,AGU


0,97,0,0,0,AGU


1,98,35,25,2,AGU


1,98,8,0,15,AGU


1,99,25,25,25,AGU


1,99,8,2,8,AGU


1,99,25,2,15,AGU


1,100,8,0,15,AGU


1,101,25,25,25,AGU


1,101,25,2,25,AGU


1,102,8,0,25,AGU


1,102,8,2,8,AGU


1,103,35,25,35,AGU


1,103,25,8,35,AGU


1,104,25,35,8,AGU


1,105,15,8,15,AGU


1,105,35,15,25,AGU


1,106,25,25,35,AGU


1,106,25,8,15,AGU


1,107,15,2,56,AGU


1,107,8,8,8,AGU


1,107,35,15,25,AGU


1,108,15,8,15,AGU


1,109,35,25,35,AGU


1,110,15,15,15,AGU


1,111,35,8,15,AGU


1,112,45,25,25,AGU


1,113,25,8,15,AGU


0,114,0,0,0,AGU


1,115,35,25,25,AGU


1,115,15,15,15,AGU


1,115,25,15,8,AGU


1,116,2,15,69,AGU


1,117,15,8,15,AGU


1,117,15,25,35,AGU


1,118,2,15,69,AGU


1,119,25,15,15,AGU


1,120,2,15,69,AGU


1,120,35,8,25,AGU


1,1,15,56,25,ALA


1,1,25,0,15,ALA


1,2,15,0,15,ALA


1,3,25,45,25,ALA


1,3,25,2,15,ALA


1,4,15,0,15,ALA


1,5,25,8,8,ALA


1,6,15,45,35,ALA


1,6,25,2,25,ALA


1,7,15,8,15,ALA


1,7,25,0,15,ALA


1,8,25,45,25,ALA


1,9,35,35,25,ALA


1,9,25,8,15,ALA


1,9,25,8,15,ALA


1,9,45,15,15,ALA


1,10,25,8,8,ALA


1,11,35,25,25,ALA


1,11,25,15,15,ALA


1,11,45,15,2,ALA


1,12,25,8,8,ALA


1,13,25,35,25,ALA


1,13,25,15,15,ALA


1,14,25,8,2,ALA


1,15,15,45,25,ALA


1,15,15,25,8,ALA


1,16,15,15,2,ALA


1,17,15,56,15,ALA


1,17,15,15,2,ALA


1,17,25,25,0,ALA


1,18,15,15,8,ALA


1,18,25,15,15,ALA


1,19,15,25,2,ALA


1,20,8,56,25,ALA


1,20,15,8,8,ALA


0,21,0,0,0,ALA


1,22,25,25,0,ALA


0,23,0,0,0,ALA


1,24,25,45,2,ALA


1,24,35,35,8,ALA


1,24,25,15,2,ALA


1,25,35,45,2,ALA


1,26,45,35,8,ALA


1,26,25,15,0,ALA


1,27,25,45,2,ALA


1,27,25,56,8,ALA


1,28,35,15,0,ALA


1,29,25,45,8,ALA


1,29,35,45,0,ALA


1,29,35,35,8,ALA


1,30,15,25,0,ALA


1,31,25,56,8,ALA


1,31,35,45,0,ALA


1,31,8,35,8,ALA


1,32,35,45,0,ALA


1,33,25,45,8,ALA


1,33,35,15,8,ALA


1,33,25,25,0,ALA


1,34,25,56,8,ALA


1,34,35,45,2,ALA


1,35,15,45,2,ALA


1,35,25,45,2,ALA


1,35,15,15,8,ALA


1,35,25,15,0,ALA


1,36,8,56,8,ALA


1,37,25,56,2,ALA


1,37,15,45,2,ALA


1,37,45,25,8,ALA


1,37,15,25,2,ALA


1,38,25,56,2,ALA


1,39,25,56,2,ALA


1,39,15,25,8,ALA


1,40,8,45,8,ALA


1,41,25,15,8,ALA


1,42,35,0,2,ALA


1,43,15,45,15,ALA


1,43,35,0,0,ALA


1,44,2,0,0,ALA


1,44,15,0,8,ALA


1,45,8,56,15,ALA


1,46,2,0,2,ALA


1,46,8,0,8,ALA


1,47,8,56,8,ALA


1,47,15,0,15,ALA


1,48,8,0,2,ALA


1,48,15,0,15,ALA


1,48,15,0,8,ALA


1,49,8,45,8,ALA


1,50,2,0,2,ALA


1,50,15,8,8,ALA


1,50,15,2,15,ALA


1,51,25,45,8,ALA


1,52,15,2,2,ALA


1,52,15,8,8,ALA


1,53,15,8,8,ALA


1,54,25,56,8,ALA


1,54,8,2,2,ALA


1,54,25,25,2,ALA


1,55,25,8,2,ALA


1,56,25,35,8,ALA


1,56,8,0,2,ALA


1,56,35,2,8,ALA


1,56,15,8,2,ALA


1,57,2,2,0,ALA


1,58,0,2,0,ALA


1,58,8,0,0,ALA


1,59,8,8,2,ALA


1,59,0,0,0,ALA


1,60,15,15,0,ALA


1,61,25,45,8,ALA


1,61,25,25,15,ALA


1,61,35,15,2,ALA


1,62,25,35,2,ALA


1,63,25,45,8,ALA


1,63,8,35,0,ALA


1,63,15,45,8,ALA


1,64,15,45,0,ALA


1,64,15,45,0,ALA


1,64,25,15,2,ALA


1,65,15,25,8,ALA


1,66,15,45,0,ALA


1,66,25,25,2,ALA


1,67,25,35,2,ALA


0,68,0,0,0,ALA


1,69,15,45,2,ALA


1,69,25,25,2,ALA


1,69,25,25,8,ALA


0,70,0,0,0,ALA


1,71,15,45,2,ALA


1,72,25,15,2,ALA


1,72,35,25,8,ALA


1,73,15,45,0,ALA


1,73,15,56,2,ALA


1,73,35,25,8,ALA


1,74,15,45,2,ALA


1,74,25,15,8,ALA


1,74,25,35,2,ALA


1,75,8,56,8,ALA


1,75,8,45,2,ALA


1,75,15,15,2,ALA


1,75,35,25,2,ALA


1,76,15,45,0,ALA


1,76,25,15,8,ALA


1,77,8,35,2,ALA


1,77,15,15,8,ALA


1,77,25,8,2,ALA


1,78,15,56,2,ALA


1,78,15,45,0,ALA


1,78,15,35,0,ALA


1,79,15,56,0,ALA


1,79,8,45,2,ALA


1,80,15,56,0,ALA


1,80,25,35,0,ALA


1,81,8,25,2,ALA


1,81,8,56,0,ALA


1,81,25,25,2,ALA


1,82,15,25,0,ALA


1,83,2,8,2,ALA


1,83,8,56,2,ALA


1,83,8,25,8,ALA


1,84,8,56,2,ALA


1,84,8,15,0,ALA


1,85,2,8,8,ALA


1,86,2,2,2,ALA


1,86,8,8,2,ALA


1,87,2,15,8,ALA


0,88,0,0,0,ALA


1,89,15,15,2,ALA


1,89,45,25,8,ALA


1,90,35,15,2,ALA


0,91,0,0,0,ALA


1,92,15,25,2,ALA


1,92,25,25,2,ALA


1,92,25,25,8,ALA


1,92,35,15,8,ALA


0,93,0,0,0,ALA


1,94,45,15,2,ALA


1,95,15,56,2,ALA


1,95,45,8,8,ALA


0,96,0,0,0,ALA


1,97,35,15,8,ALA


1,98,35,45,2,ALA


1,98,15,15,2,ALA


1,98,35,25,2,ALA


1,99,15,8,8,ALA


1,99,25,15,2,ALA


1,100,25,35,8,ALA


1,100,8,15,8,ALA


1,100,15,25,2,ALA


1,101,15,69,2,ALA


1,101,2,2,2,ALA


1,101,8,8,8,ALA


1,101,35,8,8,ALA


0,102,0,0,0,ALA


1,103,8,2,2,ALA


1,103,35,8,8,ALA


1,103,25,15,2,ALA


1,104,15,15,8,ALA


1,105,15,8,8,ALA


