ISLAND,GRID_ID,CORAL_FREQ,CORAL_MEAN,CORAL_SD,CCA_FREQ,CCA_MEAN,CCA_SD,MACROALGAE_FREQ,MACROALGAE_MEAN,MACROALGAE_SD,SURF_FREQ,SURF_MEAN,SURF_SD,SURF_SUM,TED_FREQ,TED_MEAN,TED_SD,TED_SUM,population_status,hum_pop,distant_hum_pop,group
AGR,22,3,6,3.464101615,3,4,3.464101615,3,25,10,68,124480.7051,14571.42603,8464687.946,1523,0.622472906,0.897116476,948.0262361,0,0,0,8
AGR,23,2,8.5,9.192388155,2,2,0,2,45.5,14.8492424,102,123550.5443,14260.73147,12602155.52,1521,0.621404522,0.895297162,945.1562781,0,0,0,8
AGR,24,2,15,0,2,5,4.242640687,2,40.5,21.92031022,102,123550.5443,14260.73147,12602155.52,1518,0.621507722,0.894617971,943.4487226,0,0,0,8
AGR,25,2,8,0,2,5,4.242640687,2,40.5,21.92031022,102,123550.5443,14260.73147,12602155.52,1539,0.619571324,0.890261122,953.5202678,0,0,0,8
AGR,26,1,15,,1,8,,1,35,,68,122826.6977,13953.7457,8352215.444,1542,0.610378979,0.880241579,941.2043858,0,0,0,8
AGR,27,2,16.5,12.02081528,2,11.5,4.949747468,2,35.5,28.99137803,102,123557.4051,14291.81877,12602855.32,1449,0.383160328,0.558701476,555.1993157,0,0,0,8
AGR,28,2,11.5,4.949747468,2,2,0,2,20,7.071067812,102,123557.4051,14291.81877,12602855.32,1468,0.375642848,0.540995463,551.4437012,0,0,0,8
AGR,29,1,8,,1,8,,1,25,,102,123557.4051,14291.81877,12602855.32,1560,0.385030333,0.514428919,600.6473192,0,0,0,8
AGR,30,3,4,3.464101615,3,4,3.464101615,3,10.33333333,4.041451884,102,123557.4051,14291.81877,12602855.32,1554,0.383249782,0.511048088,595.570161,0,0,0,8
AGR,31,3,16,8.544003745,3,10.66666667,7.505553499,3,16.33333333,24.82606158,68,123354.5212,14352.5783,8388107.444,1557,0.381157015,0.506926251,593.4614725,0,0,0,8
AGR,32,1,8,,1,2,,1,15,,102,123249.2717,14168.79396,12571425.72,1549,0.384335667,0.513079303,595.3359486,0,0,0,8
AGR,33,2,35,14.14213562,2,11.5,4.949747468,2,23.5,30.40559159,102,123249.2717,14168.79396,12571425.72,1568,0.381460805,0.510174151,598.130542,0,0,0,8
AGR,34,,,,,,,,,,102,123249.2717,14168.79396,12571425.72,1573,0.379892991,0.503089844,597.5716742,0,0,0,8
AGR,35,1,35,,1,8,,1,45,,102,123249.2717,14168.79396,12571425.72,1572,0.385373254,0.512907652,605.8067555,0,0,0,8
AGR,36,1,15,,1,15,,1,2,,102,123249.2717,14168.79396,12571425.72,1567,0.385419412,0.508798239,603.952219,0,0,0,8
AGR,37,1,35,,1,15,,1,45,,102,124603.1306,14937.33473,12709519.32,1572,0.386652427,0.506837464,607.8176154,0,0,0,8
AGR,38,1,8,,1,15,,1,2,,102,124603.1306,14937.33473,12709519.32,1579,0.389698124,0.506210931,615.3333378,0,0,0,8
AGR,39,1,35,,1,15,,1,45,,102,124603.1306,14937.33473,12709519.32,1577,0.396839376,0.5132314,625.8156962,0,0,0,8
AGR,40,3,19.33333333,14.0118997,3,6,3.464101615,3,15.66666667,25.42308662,102,124603.1306,14937.33473,12709519.32,1588,0.42240413,0.544154993,670.7777578,0,0,0,8
AGR,41,,,,,,,,,,102,124908.3394,15265.52796,12740650.62,1644,0.574212479,0.709669473,944.0053148,0,0,0,8
AGR,42,3,12.66666667,4.041451884,3,6.333333333,7.505553499,3,23.66666667,39.27255191,102,124908.3394,15265.52796,12740650.62,1629,0.575961718,0.706093602,938.2416388,0,0,0,8
AGR,43,1,8,,1,8,,1,69,,102,124908.3394,15265.52796,12740650.62,1495,0.408703307,0.514813005,611.0114438,0,0,0,8
AGR,44,3,19.33333333,14.0118997,3,6,3.464101615,3,20.33333333,21.36195996,102,124908.3394,15265.52796,12740650.62,1496,0.394132337,0.493197128,589.6219757,0,0,0,8
AGR,45,1,25,,1,2,,1,88,,68,125843.1228,15875.54681,8557332.348,1470,0.392513096,0.485604006,576.9942508,0,0,0,8
AGR,46,2,20,7.071067812,2,5,4.242640687,2,32,33.9411255,102,126018.812,15906.46905,12853918.82,1452,0.387797961,0.474792,563.0826394,0,0,0,8
AGR,47,1,15,,1,2,,1,15,,102,126018.812,15906.46905,12853918.82,1433,0.382197701,0.459694068,547.6893057,0,0,0,8
AGR,48,2,20,7.071067812,2,2,0,2,32,33.9411255,102,126018.812,15906.46905,12853918.82,1450,0.378791044,0.450618764,549.2470138,0,0,0,8
AGR,49,1,25,,1,8,,1,56,,102,126018.812,15906.46905,12853918.82,1413,0.378213156,0.440496892,534.4151892,0,0,0,8
AGR,50,2,25,0,2,5,4.242640687,2,32,33.9411255,68,126152.3184,15974.39611,8578357.648,1413,0.379012945,0.435303465,535.5452918,0,0,0,8
AGR,51,2,20,7.071067812,2,5,4.242640687,2,32,33.9411255,102,125779.5365,15828.46267,12829512.72,1440,0.390336623,0.431278424,562.0847374,0,0,0,8
AGR,52,1,15,,1,2,,1,2,,102,125779.5365,15828.46267,12829512.72,1419,0.380455567,0.414849792,539.8664497,0,0,0,8
AGR,53,2,15,0,2,8,0,2,28,39.59797975,102,125779.5365,15828.46267,12829512.72,1392,0.37178934,0.399759242,517.5307615,0,0,0,8
AGR,54,1,15,,1,8,,1,56,,102,125779.5365,15828.46267,12829512.72,1386,0.368579997,0.397676807,510.8518754,0,0,0,8
AGR,55,2,8,0,2,5,4.242640687,2,0,0,68,125702.0816,15868.63174,8547741.548,1378,0.361660534,0.385180948,498.3682154,0,0,0,8
AGR,56,1,25,,1,8,,1,56,,68,125702.0816,15868.63174,8547741.548,1359,0.356338669,0.373604351,484.2642506,0,0,0,8
AGR,57,1,8,,1,0,,1,0,,102,125649.7012,15847.67844,12816269.52,1357,0.354418733,0.371787115,480.9462207,0,0,0,8
AGR,58,,,,,,,,,,102,125649.7012,15847.67844,12816269.52,1357,0.353143802,0.365174691,479.2161387,0,0,0,8
AGR,59,1,2,,1,8,,1,0,,102,125649.7012,15847.67844,12816269.52,1337,0.350360229,0.358708075,468.4316265,0,0,0,8
AGR,60,2,20,7.071067812,2,8.5,9.192388155,2,17.5,24.74873734,68,125289.4566,15777.12359,8519683.047,1332,0.351034525,0.354159271,467.5779869,0,0,0,8
AGR,61,2,16.5,12.02081528,2,16.5,12.02081528,2,22.5,31.81980515,68,125289.4566,15777.12359,8519683.047,1338,0.331816027,0.330591391,443.9698443,0,0,0,8
AGR,62,2,15,0,2,13.5,16.26345597,2,22.5,31.81980515,102,125470.6414,15784.75621,12798005.42,1330,0.324289267,0.329282926,431.3047255,0,0,0,8
AGR,63,1,8,,1,8,,1,0,,102,125470.6414,15784.75621,12798005.42,1332,0.314550687,0.314934641,418.9815154,0,0,0,8
AGR,64,1,25,,1,15,,1,56,,102,125470.6414,15784.75621,12798005.42,1320,0.309670636,0.313060714,408.7652389,0,0,0,8
AGR,65,1,8,,1,8,,1,0,,68,125688.9757,15917.80275,8546850.348,1306,0.301141294,0.301674964,393.2905302,0,0,0,8
AGR,66,1,15,,1,15,,1,56,,68,125688.9757,15917.80275,8546850.348,1303,0.297195858,0.296772713,387.2462027,0,0,0,8
AGR,67,2,15,0,2,11.5,4.949747468,2,28,39.59797975,102,125943.4914,15964.54345,12846236.12,1310,0.296499287,0.298790843,388.4140665,0,0,0,8
AGR,68,,,,,,,,,,102,125943.4914,15964.54345,12846236.12,1307,0.292311232,0.293216419,382.0507805,0,0,0,8
AGR,69,2,11.5,4.949747468,2,11.5,4.949747468,2,34.5,48.7903679,102,125943.4914,15964.54345,12846236.12,1302,0.28753699,0.287986696,374.3731616,0,0,0,8
AGR,70,1,15,,1,8,,1,0,,102,125943.4914,15964.54345,12846236.12,1287,0.252607543,0.263961336,325.1059076,0,0,0,8
AGR,71,2,15,0,2,8.5,9.192388155,2,34.5,48.7903679,68,126142.7669,16040.73766,8577708.148,1281,0.245212525,0.256767525,314.1172451,0,0,0,8
AGR,72,2,16.5,12.02081528,2,11.5,4.949747468,2,1,1.414213562,102,122860.4874,16898.71089,12531769.72,1274,0.236936307,0.248372338,301.856855,0,0,0,8
AGR,73,2,15,0,2,11.5,4.949747468,2,35.5,47.37615434,102,122860.4874,16898.71089,12531769.72,1266,0.23221961,0.246207129,293.9900268,0,0,0,8
AGR,74,2,30,7.071067812,2,16.5,12.02081528,2,7.5,10.60660172,102,122860.4874,16898.71089,12531769.72,1255,0.229636138,0.245519214,288.1933537,0,0,0,8
AGR,75,,,,,,,,,,102,122860.4874,16898.71089,12531769.72,1248,0.223847451,0.237837702,279.3616183,0,0,0,8
AGR,76,2,30,7.071067812,2,20,7.071067812,2,5,4.242640687,102,117102.8932,17776.52267,11944495.11,1243,0.222790792,0.236442934,276.9289541,0,0,0,8
AGR,77,,,,,,,,,,102,117102.8932,17776.52267,11944495.11,1239,0.219014381,0.22903508,271.3588176,0,0,0,8
AGR,78,4,35.25,14.61449053,4,6.75,6.184658438,4,18.25,26.03043091,102,117102.8932,17776.52267,11944495.11,1219,0.214772716,0.221004049,261.8079406,0,0,0,8
AGR,79,3,12.66666667,4.041451884,3,7.666666667,7.505553499,3,21.33333333,30.28751118,102,117102.8932,17776.52267,11944495.11,1231,0.21598575,0.221296015,265.878458,0,0,0,8
AGR,80,2,11.5,4.949747468,2,2,0,2,28,39.59797975,68,112428.0784,16709.18573,7645109.331,1173,0.197139374,0.221009603,231.2444857,0,0,0,8
AGR,81,2,5,4.242640687,2,4,5.656854249,2,12.5,17.67766953,102,113558.8823,16596.7102,11583006,1166,0.196661445,0.222506183,229.3072449,0,0,0,8
AGR,82,2,1,1.414213562,2,1,1.414213562,2,12.5,17.67766953,102,113558.8823,16596.7102,11583006,1151,0.196215381,0.222817768,225.8439032,0,0,0,8
AGR,83,2,1,1.414213562,2,1,1.414213562,2,8.5,9.192388155,102,113558.8823,16596.7102,11583006,1132,0.19537917,0.223249722,221.1692209,0,0,0,8
AGR,84,2,0,0,2,0,0,2,0,0,102,113558.8823,16596.7102,11583006,1118,0.194720197,0.222778513,217.6971806,0,0,0,8
AGR,85,1,2,,1,2,,1,8,,68,112190.3593,16405.98532,7628944.431,1109,0.193119124,0.221741674,214.1691083,0,0,0,8
AGR,86,1,0,,1,0,,1,2,,102,114876.6108,16876.20809,11717414.3,1053,0.196502321,0.225541983,206.9169441,0,0,0,8
AGR,87,3,31.66666667,5.773502692,3,1.333333333,1.154700538,3,8.333333333,6.506407099,102,114876.6108,16876.20809,11717414.3,1030,0.198329253,0.226697694,204.2791305,0,0,0,8
AGR,88,,,,,,,,,,102,114876.6108,16876.20809,11717414.3,996,0.201694298,0.230776622,200.8875204,0,0,0,8
AGR,89,3,28.33333333,15.27525232,3,4,3.464101615,3,28.33333333,15.27525232,102,114876.6108,16876.20809,11717414.3,954,0.208314159,0.235813207,198.7317076,0,0,0,8
AGR,90,1,45,,1,2,,1,45,,68,118034.802,16592.93739,8026366.538,950,0.214056057,0.237410346,203.3532541,0,0,0,8
AGR,91,1,15,,1,8,,1,35,,102,119400.9766,16791.05898,12178899.61,954,0.217902619,0.237910753,207.879099,0,0,0,8
AGR,92,2,35,0,2,2,0,2,21.5,19.09188309,102,119400.9766,16791.05898,12178899.61,948,0.222856244,0.243867446,211.2677196,0,0,0,8
AGR,93,1,15,,1,8,,1,25,,102,119400.9766,16791.05898,12178899.61,948,0.226568109,0.248161461,214.7865676,0,0,0,8
AGR,94,1,35,,1,0,,1,2,,102,119400.9766,16791.05898,12178899.61,933,0.228022901,0.251928418,212.745367,0,0,0,8
AGR,95,,,,,,,,,,68,121191.2197,16825.98023,8241002.941,927,0.23208539,0.256789999,215.1431566,0,0,0,8
AGR,96,,,,,,,,,,102,121580.8707,17130.67465,12401248.81,903,0.230953211,0.258073999,208.5507496,0,0,0,8
AGR,97,1,25,,1,2,,1,15,,102,121580.8707,17130.67465,12401248.81,880,0.233258427,0.264335916,205.267416,0,0,0,8
AGR,98,1,25,,1,8,,1,2,,136,116783.9101,19026.68279,15882611.77,859,0.233129831,0.267337695,200.258525,0,0,0,8
AGR,99,2,25,0,2,8.5,9.192388155,2,17.5,24.74873734,136,116783.9101,19026.68279,15882611.77,837,0.236290661,0.273107147,197.7752836,0,0,0,8
AGR,100,,,,,,,,,,136,116735.063,19312.21982,15875968.57,834,0.241137203,0.278243947,201.1084272,0,0,0,8
AGR,101,3,25,10,3,8.333333333,6.506407099,3,11.66666667,20.20725942,136,116735.063,19312.21982,15875968.57,823,0.242110355,0.280213956,199.2568218,0,0,0,8
AGR,102,1,25,,1,2,,1,0,,170,102616.3924,33748.66735,17444786.7,807,0.244562703,0.283695211,197.3621012,0,0,0,8
AGR,103,2,25,0,2,16.5,12.02081528,2,22.5,31.81980515,170,102616.3924,33748.66735,17444786.7,794,0.251823172,0.325158881,199.9475984,0,0,0,8
AGR,104,1,35,,1,2,,1,0,,136,97737.15903,35134.5895,13292253.63,789,0.259153119,0.361129518,204.4718109,0,0,0,8
AGR,105,1,15,,1,8,,1,0,,136,97737.15903,35134.5895,13292253.63,772,0.270775968,0.400032291,209.0390475,0,0,0,8
AGR,106,2,20,7.071067812,2,8.5,9.192388155,2,23.5,30.40559159,170,90342.29332,35404.994,15358189.86,751,0.276043448,0.405717305,207.3086297,0,0,0,8
AGR,107,,,,,,,,,,170,90342.29332,35404.994,15358189.86,745,0.286854646,0.439278761,213.7067116,0,0,0,8
AGR,108,2,15,0,2,8.5,9.192388155,2,18.5,23.33452378,170,90342.29332,35404.994,15358189.86,722,0.292736019,0.44662532,211.355406,0,0,0,8
AGR,109,,,,,,,,,,136,82337.82347,34171.16787,11197943.99,699,0.306519496,0.484604076,214.2571278,0,0,0,8
AGR,110,2,11.5,4.949747468,2,4,5.656854249,2,13.5,16.26345597,136,82337.82347,34171.16787,11197943.99,683,0.319317199,0.517850614,218.093647,0,0,0,8
AGR,111,2,11.5,4.949747468,2,4,5.656854249,2,13.5,16.26345597,102,75652.75522,35815.47896,7716581.033,664,0.335535871,0.552985821,222.7958186,0,0,0,8
AGR,112,1,8,,1,0,,1,2,,136,75130.64247,32057.51666,10217767.38,645,0.345737271,0.563918031,223.0005398,0,0,0,8
AGR,113,1,15,,1,8,,1,35,,102,60156.28143,19001.84734,6135940.705,628,0.36357901,0.598644409,228.327618,0,0,0,8
AGR,114,2,8.5,9.192388155,2,0,0,2,1,1.414213562,102,60156.28143,19001.84734,6135940.705,622,0.379614573,0.628174317,236.1202647,0,0,0,8
AGR,115,,,,,,,,,,68,67163.56733,17218.44909,4567122.578,611,0.393680619,0.656556316,240.538858,0,0,0,8
AGR,116,1,0,,1,0,,1,2,,102,75379.65718,20621.0241,7688725.032,594,0.411081751,0.688607201,244.1825602,0,0,0,8
AGR,117,,,,,,,,,,102,75379.65718,20621.0241,7688725.032,597,0.437079674,0.736094224,260.9365656,0,0,0,8
AGR,118,1,0,,1,0,,1,0,,102,75379.65718,20621.0241,7688725.032,583,0.44882354,0.74312564,261.6641237,0,0,0,8
AGR,119,1,0,,1,0,,1,0,,102,75379.65718,20621.0241,7688725.032,584,0.506230909,0.962640198,295.6388509,0,0,0,8
AGR,120,,,,,,,,,,102,75379.65718,20621.0241,7688725.032,582,0.550378003,1.082421469,320.3199976,0,0,0,8
AGR,121,,,,,,,,,,68,82688.07054,18943.08903,5622788.797,581,0.621294815,1.273007208,360.9722873,0,0,0,8
AGR,122,,,,,,,,,,68,82688.07054,18943.08903,5622788.797,585,0.701589856,1.481059266,410.4300655,0,0,0,8
AGR,123,,,,,,,,,,68,82688.07054,18943.08903,5622788.797,583,0.747639868,1.565627537,435.8740432,0,0,0,8
AGR,124,1,0,,1,0,,1,0,,68,82688.07054,18943.08903,5622788.797,579,0.801055703,1.683365361,463.8112523,0,0,0,8
AGR,125,1,8,,1,0,,1,0,,68,82688.07054,18943.08903,5622788.797,589,0.886394866,1.841644745,522.0865758,0,0,0,8
AGR,126,2,8.5,9.192388155,2,1,1.414213562,2,15,0,34,91811.83687,16799.37124,3121602.454,587,0.963842665,1.953122957,565.7756444,0,0,0,8
AGR,127,3,31.66666667,11.54700538,3,6,3.464101615,3,1.333333333,1.154700538,34,91811.83687,16799.37124,3121602.454,591,1.0386575,2.063343824,613.8465824,0,0,0,8
AGR,128,2,1,1.414213562,2,0,0,2,28,39.59797975,34,91811.83687,16799.37124,3121602.454,592,1.057863831,2.074606411,626.2553882,0,0,0,8
AGR,129,3,25,0,3,6,3.464101615,3,0.666666667,1.154700538,68,53042.72885,41367.56571,3606905.562,609,1.085054891,2.096261285,660.7984285,0,0,0,8
AGR,130,1,45,,1,2,,1,35,,68,53042.72885,41367.56571,3606905.562,600,1.121009998,2.118006012,672.6059988,0,0,0,8
AGR,131,,,,,,,,,,34,14273.62083,9747.200227,485303.1083,610,1.15484001,2.149607757,704.4524058,0,0,0,8
AGR,132,,,,,,,,,,34,14273.62083,9747.200227,485303.1083,617,1.180816987,2.172925693,728.5640812,0,0,0,8
AGR,133,3,53.33333333,17.15614564,3,5.333333333,4.618802154,3,11.66666667,20.20725942,34,14273.62083,9747.200227,485303.1083,614,1.219750376,2.2096976,748.9267308,0,0,0,8
AGR,134,3,38.66666667,21.22105872,3,6,3.464101615,3,0.666666667,1.154700538,68,15853.38557,10498.91404,1078030.219,614,1.259007639,2.248480731,773.0306901,0,0,0,8
AGR,135,3,49.33333333,33.8575447,3,3.333333333,4.163331999,3,5,8.660254038,68,15853.38557,10498.91404,1078030.219,619,1.296264095,2.277592658,802.387475,0,0,0,8
AGR,136,2,50.5,7.778174593,2,2,0,2,1,1.414213562,68,15853.38557,10498.91404,1078030.219,620,1.337678609,2.30568935,829.3607374,0,0,0,8
AGR,137,3,13.33333333,12.58305739,3,0.666666667,1.154700538,3,15,25.98076211,68,15853.38557,10498.91404,1078030.219,614,1.399208319,2.350395132,859.1139077,0,0,0,8
AGR,138,1,0,,1,0,,1,8,,102,16048.03459,10574.15698,1636899.528,616,1.470036392,2.429173489,905.5424174,0,0,0,8
AGR,139,,,,,,,,,,102,16048.03459,10574.15698,1636899.528,638,1.469165308,2.401593048,937.3274666,0,0,0,8
AGR,140,1,0,,1,0,,1,0,,102,16048.03459,10574.15698,1636899.528,620,1.558847432,2.471375634,966.4854077,0,0,0,8
AGR,141,,,,,,,,,,102,16048.03459,10574.15698,1636899.528,629,1.618984678,2.517776394,1018.341363,0,0,0,8
AGR,142,,,,,,,,,,68,16935.24147,10925.29279,1151596.42,638,1.673306107,2.567065141,1067.569296,0,0,0,8
AGR,143,,,,,,,,,,102,16672.38166,10813.43651,1700582.929,633,1.759826481,2.624337657,1113.970163,0,0,0,8
AGR,144,,,,,,,,,,102,16672.38166,10813.43651,1700582.929,641,1.801041037,2.656951835,1154.467305,0,0,0,8
AGR,145,1,0,,1,0,,1,0,,102,16672.38166,10813.43651,1700582.929,653,1.848697063,2.695654191,1207.199182,0,0,0,8
AGR,146,,,,,,,,,,68,16291.99734,10720.46288,1107855.819,665,1.911426464,2.752134977,1271.098598,0,0,0,8
AGR,147,,,,,,,,,,68,16291.99734,10720.46288,1107855.819,671,1.940358539,2.779772966,1301.98058,0,0,0,8
AGR,148,1,0,,1,0,,1,0,,102,16031.84537,10530.44105,1635248.228,680,1.988326633,2.819974742,1352.06211,0,0,0,8
AGR,149,,,,,,,,,,102,16031.84537,10530.44105,1635248.228,686,2.030902806,2.851339344,1393.199325,0,0,0,8
AGR,150,2,0,0,2,0,0,2,1,1.414213562,102,16031.84537,10530.44105,1635248.228,692,2.033843597,2.85336258,1407.419769,0,0,0,8
AGR,151,1,0,,1,0,,1,2,,102,16031.84537,10530.44105,1635248.228,716,2.021829672,2.84400882,1447.630045,0,0,0,8
AGR,152,1,0,,1,0,,1,2,,68,15829.10174,10431.99914,1076378.918,708,2.03995648,2.842648669,1444.289188,0,0,0,8
AGR,153,2,0,0,2,0,0,2,2,0,102,15583.93556,10243.00578,1589561.427,718,2.062435428,2.860733138,1480.828637,0,0,0,8
AGR,154,1,0,,1,0,,1,2,,102,15583.93556,10243.00578,1589561.427,726,2.091095212,2.888538551,1518.135124,0,0,0,8
AGR,155,2,0,0,2,0,0,2,0,0,102,15583.93556,10243.00578,1589561.427,735,2.092096824,2.888851893,1537.691166,0,0,0,8
AGR,156,2,0,0,2,0,0,2,0,0,68,15302.57232,10061.05675,1040574.918,739,2.081569073,2.873241825,1538.279545,0,0,0,8
AGR,157,1,0,,1,0,,1,0,,68,15302.57232,10061.05675,1040574.918,736,2.088168513,2.865300141,1536.892025,0,0,0,8
AGR,158,2,0,0,2,0,0,2,0,0,102,14922.53457,9791.37211,1522098.526,751,2.065161303,2.848074863,1550.936139,0,0,0,8
AGR,159,1,0,,1,0,,1,0,,102,14922.53457,9791.37211,1522098.526,750,2.049862866,2.825655717,1537.39715,0,0,0,8
AGR,160,2,0,0,2,0,0,2,1,1.414213562,102,14922.53457,9791.37211,1522098.526,754,2.014849425,2.793453773,1519.196467,0,0,0,8
AGR,161,1,0,,1,0,,1,0,,68,14628.03113,9603.613718,994706.1169,758,1.994098816,2.769225367,1511.526903,0,0,0,8
AGR,162,2,2,0,2,1,1.414213562,2,4,5.656854249,68,14628.03113,9603.613718,994706.1169,759,1.952037795,2.72042957,1481.596686,0,0,0,8
AGR,163,1,2,,1,0,,1,8,,102,14233.91397,9349.749597,1451859.225,760,1.912530851,2.678923632,1453.523447,0,0,0,8
AGR,164,3,0.666666667,1.154700538,3,0.666666667,1.154700538,3,0.666666667,1.154700538,102,14233.91397,9349.749597,1451859.225,770,1.906877731,2.676085432,1468.295853,0,0,0,8
AGR,165,,,,,,,,,,102,14233.91397,9349.749597,1451859.225,762,1.876808474,2.633718463,1430.128057,0,0,0,8
AGR,166,4,0.5,1,4,0,0,4,0.5,1,102,14233.91397,9349.749597,1451859.225,773,1.853713727,2.608480017,1432.920711,0,0,0,8
AGR,167,,,,,,,,,,68,13804.06935,9058.941027,938676.7159,779,1.818189538,2.574767044,1416.36965,0,0,0,8
AGR,168,1,2,,1,0,,1,2,,102,13765.18847,9007.799949,1404049.224,785,1.782279775,2.536280055,1399.089623,0,0,0,8
AGR,169,1,0,,1,0,,1,0,,102,13765.18847,9007.799949,1404049.224,782,1.7470905,2.490473727,1366.224771,0,0,0,8
AGR,170,,,,,,,,,,102,13765.18847,9007.799949,1404049.224,788,1.727408785,2.471465804,1361.198122,0,0,0,8
AGR,171,,,,,,,,,,102,13765.18847,9007.799949,1404049.224,789,1.706922592,2.440510653,1346.761925,0,0,0,8
AGR,172,2,0,0,2,0,0,2,0,0,68,13566.55317,8907.232475,922525.6156,796,1.67491821,2.412259223,1333.234895,0,0,0,8
AGR,173,,,,,,,,,,102,13633.83847,8922.541489,1390651.523,797,1.65876349,2.397803394,1322.034502,0,0,0,8
AGR,174,2,1,1.414213562,2,1,1.414213562,2,0,0,102,13633.83847,8922.541489,1390651.523,802,1.624529166,2.3536637,1302.872391,0,0,0,8
AGR,175,1,2,,1,0,,1,0,,102,13633.83847,8922.541489,1390651.523,800,1.595624716,2.323733388,1276.499773,0,0,0,8
AGR,176,3,7.666666667,7.505553499,3,7.666666667,7.505553499,3,14.33333333,18.33939294,102,13633.83847,8922.541489,1390651.523,807,1.563041594,2.280339139,1261.374567,0,0,0,8
AGR,177,2,7.5,10.60660172,2,7.5,10.60660172,2,22.5,31.81980515,102,13248.87375,8707.067413,1351385.123,817,1.534772483,2.262722063,1253.909119,0,0,0,8
AGR,178,1,0,,1,8,,1,56,,102,13248.87375,8707.067413,1351385.123,817,1.50502442,2.212300326,1229.604951,0,0,0,8
AGR,179,3,6,3.464101615,3,11,12.76714533,3,0.666666667,1.154700538,102,13248.87375,8707.067413,1351385.123,824,1.479284617,2.195760114,1218.930525,0,0,0,8
AGR,180,1,0,,1,8,,1,56,,136,13068.59875,8578.894164,1777329.43,825,1.475362047,2.181625428,1217.173689,0,0,0,8
AGR,181,4,6.5,3,4,9.5,7.141428429,4,14.5,27.68272626,136,13068.59875,8578.894164,1777329.43,826,1.46127539,2.159400412,1207.013473,0,0,0,8
AGR,182,3,3.333333333,4.163331999,3,6.333333333,7.505553499,3,23,39.83716857,136,12799.0561,8394.941737,1740671.629,834,1.43211649,2.125409223,1194.385152,0,0,0,8
